"","Level_1","Level_2","Level_3","Level_4","Level_5","Level_6","Level_7","Observation.Ids","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22","M23","M24","M25","M26","M27","M28","M29","M30","M31","M32","M33","M34","M35","M36","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","R36"
"11","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Acidobacteriaceae","g__Acidisarcina","s__(Acidisarcina)","ID2608728",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Acidobacteriaceae","g__Acidisarcina","s__Acidisarcina polymorpha","ID2211140",0.0221208093613778,0.0544797388225058,0.0162238165627141,0.0356122963211826,0.0219142058839643,0.0160617505472468,0.0117807668586239,0.0191409977316489,0.0190750507873227,0.0191694404266072,0.0151363648873029,0.00988835152190719,0.0433215692865012,0.0387787912327616,0.0325073141456828,0.0176658037600984,0.0638404739216358,0.0381561596947507,0.0144135354184915,0.0133224385391502,0.0211918828666838,0.0568875568875569,0.0112947554685441,0.0299817383957044,0.0216932742286757,0.0259672812256557,0.0133797477565449,0.0151277211888948,0.0261822460836949,0.0283281142259837,0.0278160810232514,0.0152411566652349,0.021833335706522,0.0399235842800062,0.0292509773383982,0.0177078279224114,0.0293556436224864,0.0294767870302137,0.0129182276191707,0.0184310053744812,0.025306371113246,0.00952766596003144,0.0125361720798554,0.0176955654912879,0.0182586969056314,0.0102393308866722,0.0192607185898953,0.0271730014425174,0.0517332226284948,0.0242198018250333,0.0450920981775007,0.0174540838589393,0.0379897459082532,0.0184939577598005,0.0272526819116518,0.0132279904277451,0.0343165778911717,0.012603377705225,0.00656355911976705,0.0104482290251802,0.0163392934376912,0.0215500405410138,0.0118178475760282,0.0122116388019272,0.0247512037024065,0.0104456369880006,0.0177176689453558,0.0167601170160897,0.0260975468305979,0.0463670085097098,0.0222342216434266,0.019332407360591
"13","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Acidobacteriaceae","g__Acidobacterium","s__(Acidobacterium)","ID33973",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Acidobacteriaceae","g__Acidobacterium","s__Acidobacterium capsulatum","ID33075",0,0.000406565215093327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000237744282250012,0,0,0.000329946977520712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Acidobacteriaceae","g__Acidobacterium","s__Acidobacterium capsulatum","ID240015",0.00371778308594585,0.0479746953810126,0.00360529256949201,0.0110868469679153,0,0.00275344295095659,0.00277194514320562,0.00314255186639012,0,0.00261401460362825,0.00321074406700364,0.000898941047446109,0.0168057811887289,0.006059186130119,0.00500112525318197,0.00271781596309206,0.0319202369608179,0.00056111999551104,0.00221746698746022,0.00177632513855336,0.00128435653737478,0.03996003996004,0,0.00272561258142768,0.00285437818798364,0.00577050693903459,0.00117366208390745,0.00108055151349249,0.00205927778186365,0.00439195569395096,0.0161666111930008,0.000692779848419769,0.00284782639650287,0.0234262354039706,0.00830095302846436,0.00106246967534468,0.00253065893297297,0.000736919675755343,0.00129182276191707,0.00147448042995849,0.00187454600838859,0,0.00104468100665462,0.00353911309825758,0,0.00161673645579034,0.000550306245425579,0,0.00670615848887895,0.00284938845000392,0.0110297218563671,0.000793367448133603,0.00722119137099028,0,0.00619379134355722,0,0.00298405025140623,0.0012003216862119,0.000596687192706096,0,0.00128151321079931,0.00107750202705069,0.00262618835022848,0,0.00186801537376653,0,0.00590588964845192,0.00533276450511945,0.00289972742562199,0.00627318350425485,0.00635263475526475,0.0011896866068056
"16","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Acidobacteriaceae","g__Candidatus Koribacter","s__(Candidatus Koribacter)","ID658061",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Acidobacteriaceae","g__Candidatus Koribacter","s__Candidatus Koribacter versatilis","ID658062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Acidobacteriaceae","g__Candidatus Koribacter","s__Candidatus Koribacter versatilis","ID204669",0.0210054744355941,0.0329317824225595,0.010815877708476,0.0285570300688728,0.00273927573549553,0.00229453579246383,0.00277194514320562,0.00228549226646554,0,0.00130700730181413,0,0.000898941047446109,0.0268892499019663,0.0323156593606347,0.0091687296308336,0.00203836197231904,0.0335631903338012,0.014589119883287,0.00332620048119034,0.00177632513855336,0.00321089134343694,0.0316350316350316,0.00941229622378676,0.00545122516285535,0.00371069164437873,0,0.00093892966712596,0,0.00147091270133118,0.00570954240213625,0.0242499167895012,0.00762057833261746,0.00284782639650287,0.0468524708079412,0.0205547408323879,0.00566650493517164,0.0131594264514594,0.0051584377302874,0.0103345820953365,0,0.00515500152306863,0.000952766596003144,0.00139290800887282,0.00235940873217172,0,0.00161673645579034,0,0.00369016068972458,0.0606747672803334,0.0227951076000313,0.0217350401287233,0.00396683724066801,0.0361059568549514,0.0110963746558803,0.0297301984490746,0,0.0179043015084374,0.00240064337242381,0.00238674877082438,0.00321483970005546,0.00480567454049742,0.00350188158791474,0.0065654708755712,0,0.00186801537376653,0.00261140924700014,0.0073823620605649,0.0015236470014627,0.00362465928202749,0.0692777656556841,0.00771391363139291,0.00416390312381961
"19","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Acidobacteriaceae","g__Granulicella","s__(Granulicella)","ID940557",0,0,0,0,0,0,0,0,0,0,0.000458677723857663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00023473241678149,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000468636502097148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000370049660664461,0,0,0,0,0,0,0.000453759625376053,0.000297421651701401
"20","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Acidobacteriaceae","g__Granulicella","s__Granulicella mallensis","ID940614",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Acidobacteriaceae","g__Granulicella","s__Granulicella mallensis","ID682795",0.0024165590058648,0.0138232173131731,0,0.00537544095414077,0.000913091911831845,0,0,0.00228549226646554,0,0.000871338201209417,0.000917355447715326,0.00179788209489222,0.00522846525871566,0.00201972871003967,0.0100022505063639,0.00203836197231904,0.0140824574827138,0.00168335998653312,0,0.00266448770783004,0.00192653480606216,0.0155400155400155,0.00188245924475735,0,0.00256894036918527,0,0.00117366208390745,0.00144073535132332,0.00176509524159741,0.00153718449288284,0.00665683990300033,0.00207833954525931,0.000949275465500956,0.00692888652793496,0.00553396868564291,0.00247909590913759,0.00101226357318919,0.00147383935151069,0.0038754682857512,0.00294896085991699,0.00140590950629145,0.00381106638401258,0.00243758901552744,0.00117970436608586,0.000960984047664809,0.00107782430386023,0.00165091873627674,0.00335469153611325,0.00510945408676492,0.000712347112500979,0.0120029326083995,0.00158673489626721,0.00565136715990543,0.00211359517254863,0.00247751653742289,0.00120254458434046,0.000746012562851558,0.00180048252931786,0.00119337438541219,0.000803709925013864,0.0022426481188988,0.00215500405410138,0.00262618835022848,0.00185024830332231,0.00233501921720816,0.00130570462350007,0.00147647241211298,0.00228547050219405,0.00217479556921649,0.00681867772201615,0,0.0017845299102084
"22","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Acidobacteriaceae","g__Granulicella","s__Granulicella tundricola","ID940615",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Acidobacteriaceae","g__Granulicella","s__Granulicella tundricola","ID1198114",0.00148711323437834,0.00365908693583994,0.00360529256949201,0.00268772047707038,0.000913091911831845,0.0013767214754783,0.00138597257160281,0.00171411919984916,0.000953752539366136,0,0,0.000898941047446109,0.00224077082516386,0.0036355116780714,0.00166704175106066,0.00135890798154603,0.00328590674596655,0,0.00110873349373011,0,0,0.00527250527250527,0,0.00454268763571279,0.00142718909399182,0.0028852534695173,0,0.00108055151349249,0,0.00153718449288284,0.00285293138700014,0,0,0.00329946977520712,0.00118585043263777,0,0,0.00147383935151069,0.00129182276191707,0,0,0.000476383298001572,0,0,0.000960984047664809,0,0,0.00100640746083398,0.00159670440211404,0.000712347112500979,0.00519045734417274,0.00158673489626721,0.00251171873773575,0.00158519637941147,0.00247751653742289,0.00120254458434046,0.00149202512570312,0.000600160843105952,0,0.000803709925013864,0.00192226981619897,0.000808126520288016,0,0,0,0.00130570462350007,0.00147647241211298,0.00076182350073135,0,0.00190922976216452,0.000907519250752107,0
"24","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Acidobacteriaceae","g__Terriglobus","s__(Terriglobus)","ID392733",0,0,0,0,0,0,0,0,0,0.000435669100604709,0.000458677723857663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00117366208390745,0.00108055151349249,0.000882547620798706,0,0,0,0,0,0,0,0,0,0,0,0.000468636502097148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Acidobacteriaceae","g__Terriglobus","s__Terriglobus roseus","ID392734",0.00148711323437834,0.00284595650565329,0,0.00302368553670418,0.000913091911831845,0,0,0,0.000953752539366136,0,0,0,0.00224077082516386,0.00201972871003967,0.00333408350212131,0,0.00539827536837362,0.00056111999551104,0,0,0,0.00277500277500278,0,0,0.000856313456395092,0,0,0,0,0,0.00142646569350007,0,0.000474637732750478,0.00296952279768641,0.00395283477545922,0.00106246967534468,0.00101226357318919,0,0,0,0,0.000476383298001572,0,0,0,0,0.00165091873627674,0,0.00383209056507369,0.00142469422500196,0.00713687884823752,0,0.00219775389551878,0.00105679758627431,0.00123875826871144,0,0.000746012562851558,0,0,0,0,0,0.00131309417511424,0,0.000467003843441632,0,0,0,0,0.00190922976216452,0.00136127887612816,0.000297421651701401
"26","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Acidobacteriaceae","g__Terriglobus","s__Terriglobus roseus","ID926566",0.0026024481601621,0.00365908693583994,0.00180264628474601,0.00167982529816899,0.00273927573549553,0.0013767214754783,0.00277194514320562,0.00171411919984916,0,0,0.000917355447715326,0,0.00186730902096988,0.00201972871003967,0.00416760437765164,0.00203836197231904,0.00563298299308551,0,0.00110873349373011,0.00088816256927668,0.00128435653737478,0.00693750693750694,0.00188245924475735,0.00181707505428512,0.003139816006782,0.0028852534695173,0,0,0.00205927778186365,0.00175678227758038,0.0040416527982502,0.00484945893893838,0.00237318866375239,0.00329946977520712,0.00276698434282145,0,0.00151839535978378,0,0.00258364552383413,0,0,0,0.000696454004436412,0.00117970436608586,0,0.00215564860772046,0.00110061249085116,0.00100640746083398,0.00191604528253684,0.0035617355625049,0.00324403584010796,0.00158673489626721,0.000941894526650906,0.00264199396568578,0.00123875826871144,0.00240508916868093,0.00447607537710935,0,0.000596687192706096,0,0.00320378302699828,0,0.00131309417511424,0.000740099321328922,0.000934007686883263,0.00130570462350007,0.00295294482422596,0.0015236470014627,0.000724931856405498,0.00381845952432904,0.00136127887612816,0.0020819515619098
"27","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Acidobacteriaceae","g__Terriglobus","s__Terriglobus saanensis","ID870903",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Acidobacteriaceae","g__Terriglobus","s__Terriglobus saanensis","ID401053",0.00204478069727022,0.00528534779621325,0,0.00503947589450697,0.00182618382366369,0.000917814316985531,0,0.0039996114663147,0.000953752539366136,0.000871338201209417,0,0,0.00709577427968555,0.00282762019405553,0.00500112525318197,0,0.00727593636606879,0.00168335998653312,0.00110873349373011,0,0.00256871307474955,0.00721500721500722,0,0.00363415010857023,0.00171262691279018,0,0,0,0,0.00307436898576567,0.00332841995150017,0.00346389924209885,0.00189855093100191,0.0052791516403314,0.00316226782036738,0.00212493935068937,0.00202452714637837,0.00147383935151069,0.00258364552383413,0.00147448042995849,0.00468636502097148,0.000476383298001572,0.00174113501109103,0.00117970436608586,0,0.000538912151930114,0.00165091873627674,0.00234828407527928,0.0044707723259193,0.0035617355625049,0.0081100896002699,0.000793367448133603,0.00533740231768847,0.00211359517254863,0.00247751653742289,0.00120254458434046,0.00223803768855468,0.00180048252931786,0.00179006157811829,0.000803709925013864,0.00352416132969811,0,0.00131309417511424,0.00185024830332231,0.00233501921720816,0,0.00147647241211298,0.00076182350073135,0.001449863712811,0.0030002181976871,0.00181503850150421,0
"29","k__Bacteria","p__Acidobacteria","c__Blastocatellia","o__(Blastocatellia)","f__(Blastocatellia)","g__(Blastocatellia)","s__(Blastocatellia)","ID1562566",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000285437818798364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000468636502097148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000640756605399656,0,0,0,0,0,0,0,0,0,0,0
"30","k__Bacteria","p__Acidobacteria","c__Blastocatellia","o__Blastocatellales","f__(Blastocatellales)","g__(Blastocatellales)","s__(Blastocatellales)","ID1748771",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","k__Bacteria","p__Acidobacteria","c__Blastocatellia","o__Blastocatellales","f__Pyrinomonadaceae","g__(Pyrinomonadaceae)","s__(Pyrinomonadaceae)","ID2048906",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","k__Bacteria","p__Acidobacteria","c__Blastocatellia","o__Blastocatellales","f__Pyrinomonadaceae","g__Pyrinomonas","s__(Pyrinomonas)","ID1562565",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","k__Bacteria","p__Acidobacteria","c__Blastocatellia","o__Blastocatellales","f__Pyrinomonadaceae","g__Pyrinomonas","s__(Pyrinomonas)","ID1562567",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","k__Bacteria","p__Acidobacteria","c__Blastocatellia","o__Blastocatellales","f__Pyrinomonadaceae","g__Pyrinomonas","s__uncultured Pyrinomonas sp.","ID1562568",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000692779848419769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000934007686883263,0,0,0,0,0,0,0
"35","k__Bacteria","p__Acidobacteria","c__Blastocatellia","o__(Chloracidobacterium)","f__(Chloracidobacterium)","g__Chloracidobacterium","s__(Chloracidobacterium)","ID458032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","k__Bacteria","p__Acidobacteria","c__Blastocatellia","o__(Chloracidobacterium)","f__(Chloracidobacterium)","g__Chloracidobacterium","s__Chloracidobacterium thermophilum","ID458033",0.00074355661718917,0.000406565215093327,0.00180264628474601,0,0.000913091911831845,0.00183562863397106,0.000692986285801404,0.00342823839969832,0.00286125761809841,0.00261401460362825,0,0.00179788209489222,0.000373461804193976,0,0.000833520875530328,0.000679453990773015,0,0.00056111999551104,0.00110873349373011,0,0.000642178268687388,0.000555000555000555,0.000941229622378676,0.00363415010857023,0.000856313456395092,0,0.00046946483356298,0.000720367675661658,0.000294182540266235,0.00175678227758038,0.000237744282250012,0,0.00284782639650287,0,0.000790566955091844,0.00106246967534468,0.00101226357318919,0.000736919675755343,0.00516729104766826,0,0.00281181901258289,0,0.000696454004436412,0.00471881746434344,0,0.00269456075965057,0.00220122498170232,0,0.000958022641268422,0,0,0.00158673489626721,0.00125585936886787,0.00105679758627431,0,0,0,0,0,0,0.00128151321079931,0.000538751013525344,0.00131309417511424,0.000740099321328922,0.00280202306064979,0,0,0,0,0,0,0.000892264955104202
