,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36
GT78,0,0,0,0,0,0,0,0,0.002632318,0.000802314,0.000426141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000429041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT8,0.045904649,0.050097617,0.058479532,0.044947582,0.04149171,0.04909603,0.033348511,0.034134118,0.054401235,0.04452842,0.037500426,0.055243532,0.029334307,0.030757964,0.034550352,0.029942864,0.035449966,0.03179208,0.043383948,0.041091005,0.051881926,0.046619574,0.05327697,0.035882672,0.029349259,0.03698518,0.037159191,0.04593743,0.035659229,0.036398734,0.045680364,0.028906275,0.03945119,0.044082852,0.045135316,0.042564667,0.038784989,0.033792171,0.048117985,0.029378184,0.044620256,0.045989617,0.041417185,0.043763676,0.037791518,0.044075369,0.048060945,0.03504534,0.036618752,0.039211586,0.046053127,0.033088965,0.038223532,0.045878724,0.06455257,0.032177174,0.043749017,0.034979633,0.033541404,0.046721577,0.038635888,0.042009347,0.042474182,0.040622743,0.036053204,0.039978512,0.048013608,0.041075905,0.03021432,0.043503079,0.052365452,0.044128133
GT80,0.002933756,0.003315283,0.005012531,0.005269716,0.004979005,0.00559867,0.00513054,0.000793817,0.004387196,0.002005785,0.007244401,0.000837023,0.00195562,0.004760161,0.004935765,0.004277552,0.005390053,0.000993502,0.004131805,0.003101208,0.000603278,0.005067345,0.004366965,0.001668961,0.002882516,0.007925396,0.004837291,0.003062495,0.001371509,0.000817949,0.003715628,0.001256795,0.000876693,0.0071972,0.005416238,0.004873817,0.007567803,0.007585998,0,0.011350662,0.002145205,0.016803899,0.009783587,0.006564551,0.011382987,0.004507708,0.005624153,0.006571001,0.0058125,0.003921159,0.006923019,0.008823724,0.004054011,0.006833001,0.005763622,0.008876462,0.006152206,0.012412128,0.018191948,0.015071476,0.001474652,0.008751947,0.002427096,0.010416088,0.004721253,0.014991942,0.004115452,0.004957437,0.005371435,0.007040961,0.007121702,0.007264998
GT81,0.005522364,0.003683648,0.005012531,0.004029783,0.016596684,0.007321338,0.010902398,0.005821322,0.015793907,0.011232394,0.014488801,0.006696186,0.005866861,0.005492494,0.007051092,0.011610498,0.004146195,0.004470761,0.004131805,0.016281342,0.006032782,0.008107752,0.006987144,0.008344807,0.006813221,0.002641799,0.010114336,0.005444436,0.006308941,0.006134618,0.00415276,0.006283973,0.010520317,0.00989615,0.007582733,0.008447949,0.01418963,0.010344542,0.008420647,0.009347604,0.011584105,0.016361691,0.006196272,0.008752735,0.014114904,0.010017129,0.011759593,0.020338813,0.015693751,0.017645214,0.001806005,0.013235586,0.011003744,0.013177931,0.005763622,0.011095577,0.010937254,0.022567505,0.005684984,0.014317903,0.005898609,0.009502114,0.008494836,0.012846509,0.007725687,0.008745299,0.010974539,0.009914874,0.014100016,0.013578996,0.010892014,0.012108329
GT82,0.000172574,0,0,0,0,0,0,0.000264606,0,0.000401157,0,0,0,0,0,0,0,0,0.001032951,0,0,0.000253367,0,0,0.000262047,0,0.000659631,0,0,0,0,0,0,0.000299883,0.000361083,0,0,0,0,0,0.000429041,0,0,0,0,0,0.000511287,0,0,0.000653526,0,0,0,0.000488072,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000708205,0,0,0,0
GT83,0.058502542,0.077724979,0.043441938,0.068506314,0.029044197,0.043928027,0.041044321,0.039690835,0.033342693,0.040115694,0.040057273,0.028458789,0.037156789,0.064811424,0.043716772,0.034831495,0.061363683,0.031295329,0.047515753,0.06279946,0.036799971,0.07094283,0.04716322,0.051737806,0.064201504,0.023776187,0.036279683,0.039812439,0.045808395,0.044373737,0.069941228,0.057812549,0.051724894,0.063275386,0.066078102,0.065309146,0.056758521,0.063446526,0.068568129,0.058088682,0.029174783,0.037587668,0.046961218,0.035010941,0.049174506,0.040068517,0.038857786,0.045058294,0.056671879,0.073848486,0.058695161,0.053677655,0.05617701,0.068330014,0.089912508,0.062135233,0.070408575,0.062624827,0.073904788,0.045214429,0.063704975,0.06476441,0.046114826,0.051038831,0.043778891,0.05746911,0.052129061,0.081443606,0.077214374,0.088514936,0.058230383,0.059196276
GT84,0.002761182,0.007735661,0.005012531,0.007129616,0.001659668,0.001722668,0.004489223,0.001852239,0.008774393,0.002005785,0.002556847,0.001674046,0.00195562,0.004393995,0.003525546,0.004888631,0.007463151,0.002980507,0.003098853,0.005427114,0.000603278,0.006587549,0.000873393,0.002503442,0.00262047,0,0.000439754,0.000340277,0.002468716,0.001022436,0.003715628,0.001885192,0.003068426,0.008396734,0.003249743,0.00292429,0.002837926,0.005517089,0.007217698,0.002670744,0.000858082,0.003979871,0.005217913,0.003282276,0.002731917,0.002003426,0.004090293,0.000938714,0.00755625,0.003921159,0.002107006,0.002941241,0.006081017,0.004392644,0.01037452,0.005547789,0.008886519,0.002256751,0.001136997,0.00979646,0.005013817,0.002000445,0.003640644,0.006596856,0.003004434,0,0.002743635,0.003541026,0,0.009052664,0.000837847,0.002152592
GT85,0,0,0,0,0,0,0,0,0,0,0,0,0.00097781,0,0,0,0.000621929,0.000496751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000251463,0,0
GT87,0.01294304,0.015102958,0,0.01208935,0.009128176,0.012489341,0.008337128,0.010584223,0.008774393,0.012034708,0.004261412,0.009207255,0.033897421,0.012815818,0.014807294,0.009777262,0.017828638,0.040236851,0.008263609,0.009303624,0.014478677,0.022549685,0.011354108,0.004172404,0.007861409,0.013208993,0.019349164,0.002381941,0.007406148,0.006339105,0.01792244,0.008169165,0.006575198,0.015593934,0.016609796,0.012022082,0.005675852,0.006206725,0.006014748,0.004673802,0.007722737,0.009286365,0.004891794,0.004376368,0.003642556,0.004507708,0.004090293,0.002816143,0.013368751,0.00914937,0.011137031,0.004411862,0.011293316,0.005368787,0.005763622,0.00998602,0.008202941,0.007334439,0.003979489,0.005275017,0.007963122,0.006501447,0.008494836,0.00590245,0.014163759,0.003747985,0.008230904,0.002124616,0.011414299,0.008549738,0.031000348,0.011032033
GT89,0.000517722,0.000368365,0,0.001239933,0.001659668,0.000430667,0.003847905,0.003439872,0,0.002406942,0.000426141,0.005859162,0.00097781,0.005492494,0.002820437,0.000611079,0.001865788,0.001490254,0.003098853,0.004651812,0.007239339,0,0.000873393,0.005841365,0.006289127,0.005283597,0.001978892,0.002041664,0.006308941,0.008588465,0.001529964,0.005655575,0.003945119,0.000599767,0.001805413,0.001949527,0.005675852,0.004137817,0.00120295,0.008679918,0.002145205,0.002211039,0.000652239,0.002188184,0.003642556,0.000500856,0.00306772,0.004067763,0.007846875,0.004574685,0.002709007,0.002941241,0.003764439,0.002928429,0,0.002219115,0,0.000564188,0.000568498,0.001507148,0.004718887,0.004751057,0,0.001388812,0.002575229,0.001249328,0.001371817,0.002124616,0.005371435,0.002263166,0,0.002959814
